0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30
52,Foundations,Allegheny County Parks Foundation,,,,,,,,,,,,,,,,Supports Trail PGH,,,,,,,,
53,Foundations,Allegheny Foundation,,,,,,,,,,,,,,,,"Supports Allegheny Commons, PPC",,,,,,,,
54,Foundations,Allegheny General Hospital,,1,,,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
55,Foundations,Allegheny Heart Institute,,1,,,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
56,Foundations,Alliance for Community Trees,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
57,Foundations,American Eagle Outfitters Foundation,,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Grow PGH, Hollow Oak LT, Nine Mile Run",,,,,,,,
58,Foundations,Amshel Charitable Foundation,,,,,,,,,,,,,,,,Supports Venture Outdoors,,,,,,,,
59,Foundations,Bayer USA Foundation,,,,,,,,,,,,,,,,"Supports Hollow Oak LT, Sustainabile Pittsburgh",,,,,,,,
60,Foundations,"Benedum, Claude Worthington Foundation",,,,,,,,,,,,,,,,Supports Sustainable Pittsburgh,,,,,,,,
61,Foundations,Birmingham Foundation,,,,,,,,,,,,,,,,"Supports Mt Washington CDC, Venture Outdoors",,,,,,,,
62,Foundations,Buhl Foundation,,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Allegheny Commons, GTECH, Nine Mile Run, Venture Outdoors",,,,,,,,
63,Foundations,Citizen's Bank Foundation,,,,,,,,,,,,,,,,Supports Grow PGH,,,,,,,,
64,Foundations,Clarke Family Foundation,,,,,,,,,,,,,,,,Supports Grow PGH,,,,,,,,
65,Foundations,Claniel Foundation,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
66,Foundations,COLCOM,,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Grow PGH, Hollow Oak LT, PPC",,,,,,,,
67,Foundations,Columbia Gas of Pennsylvania,,,,,,,,,,,,,,,,Supports Allegheny Cleanways,,,,,,,,
68,Foundations,Comcast Foundation,,,,,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
69,Foundations,Community Design Center of Pittsburgh,,,,,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
70,Foundations,Community Development Block Grant,,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Mt Washington CDC",,,,,,,,
71,Foundations,Community Foundation for the Alleghenies,,,,,,,,,,,,,,,,Supports GBA,,,,,,,,
72,Foundations,Dominion Foundation,,,,,,,,,,,,,,,,Supports Nine Mile Run,,,,,,,,
